,Date,Susceptible,Infected,Recovered
0,21-06-2019,0.999,0.001,0.0
1,22-06-2019,0.9986755491001926,0.0011697675213376741,0.00015468337846959266
2,23-06-2019,0.9982962142008085,0.0013681891655772042,0.0003355966336143019
3,24-06-2019,0.99785271513734,0.0016000863741229838,0.0005471984885370026
4,25-06-2019,0.997334349976617,0.001871010483850302,0.0007946395395327158
5,26-06-2019,0.9967286188739617,0.002187433549020165,0.0010839475770180738
6,27-06-2019,0.9960209696852047,0.0025568739095426177,0.0014221564052525704
7,28-06-2019,0.9951945382540371,0.002988022301524995,0.0018174394444378337
8,29-06-2019,0.9942297464744788,0.0034909374519864122,0.0022793160735347356
9,30-06-2019,0.9931039277127629,0.004077223350393342,0.0028188489368437017
10,01-07-2019,0.9917909126608205,0.004760222167462362,0.003448865171716974
11,02-07-2019,0.9902604637531146,0.0055552710914340145,0.004184265155451153
12,03-07-2019,0.9884778179440605,0.006479898259363987,0.005042283796575241
13,04-07-2019,0.9864031178298328,0.0075540577859342355,0.006042824384232788
14,05-07-2019,0.9839908106686571,0.008800361542167241,0.007208827789175431
15,06-07-2019,0.9811890421143392,0.010244284868480015,0.008566673017180686
16,07-07-2019,0.9779390914317345,0.011914317689421517,0.010146590878843923
17,08-07-2019,0.974174847997809,0.01384204994961985,0.01198310205257111
18,09-07-2019,0.9698223877204165,0.016062151148150013,0.014115461131433367
19,10-07-2019,0.9647997252761521,0.018612186668399797,0.016588088055447894
20,11-07-2019,0.9590168617913829,0.021532188732475182,0.01945094947614167
21,12-07-2019,0.9523761484340346,0.024863981769154987,0.022759869796810175
22,13-07-2019,0.9447731622210982,0.028650120634730117,0.02657671714417151
23,14-07-2019,0.9360982242072526,0.032932373142704786,0.03096940265004243
24,15-07-2019,0.9262386735361058,0.0377496945570954,0.03601163190679869
25,16-07-2019,0.915082047334121,0.0431356250217525,0.04178232764412622
26,17-07-2019,0.902520315386773,0.04911506763677711,0.04836461697644959
27,18-07-2019,0.8884550446534129,0.05570059430433306,0.055844361042253876
28,19-07-2019,0.8728036125262704,0.0628883000442494,0.06430808742948001
29,20-07-2019,0.8555061150650839,0.07065354854006146,0.07384033639485449
30,21-07-2019,0.8365326332368113,0.07894696187628378,0.08452040488690485
31,22-07-2019,0.8158902644714666,0.08769116691592163,0.09641856861261161
32,23-07-2019,0.7936291979547841,0.09677887575687409,0.10959192628834169
33,24-07-2019,0.769846991663963,0.10607291008939108,0.12408009824664593
34,25-07-2019,0.7446902241493847,0.11540867148890933,0.139901104361706
35,26-07-2019,0.7183529432092497,0.12459927503839643,0.15704778175235387
36,27-07-2019,0.691071550124358,0.13344332661173014,0.17548512326391172
37,28-07-2019,0.663116214067224,0.14173488653213637,0.19514889940063943
38,29-07-2019,0.634779468763167,0.1492747294024847,0.21594580183434808
39,30-07-2019,0.6063629838951672,0.15588179418428633,0.23775522192054627
40,31-07-2019,0.5781638078523879,0.16140357518159218,0.2604326169660198
41,01-08-2019,0.5504614429824146,0.1657243573650183,0.2838141996525669
42,02-08-2019,0.5235069322041931,0.16877045513444605,0.3077226126613607
43,03-08-2019,0.4975147835962799,0.17051210908629494,0.331973107317425
44,04-08-2019,0.4726581036545158,0.17096213700245538,0.3563797593430285
45,05-08-2019,0.4490670055978215,0.17017171130685926,0.380761283095319
46,06-08-2019,0.42682967169574787,0.16822424643645192,0.4049460818677999
47,07-08-2019,0.40599566409264687,0.16522799196084315,0.42877634394650976
48,08-08-2019,0.38658068449347427,0.1613082814480105,0.45211103405851505
49,09-08-2019,0.3685720998980134,0.15660010393393858,0.4748277961680479
50,10-08-2019,0.35193467599438,0.1512414769237664,0.49682384708185345
51,11-08-2019,0.3366160467582146,0.14536795035230915,0.518016002889476
52,12-08-2019,0.32255169147735663,0.13910830265588114,0.538340005866762
53,13-08-2019,0.3096692092730541,0.13258146887108632,0.5577493218558595
54,14-08-2019,0.29789184793332346,0.1258945713323424,0.576213580734334
55,15-08-2019,0.28714130782460007,0.11914188593480224,0.5937168062405976
56,16-08-2019,0.277339887705495,0.11240456053096887,0.6102555517635361
57,17-08-2019,0.26841205464073276,0.10575090711500099,0.6258370382442662
58,18-08-2019,0.26028553093817136,0.09923709541450325,0.6404773736473252
59,19-08-2019,0.2528920053158862,0.09290811939783519,0.6541998752862784
60,20-08-2019,0.2461675343987113,0.08679890864144278,0.6670335569598457
61,21-08-2019,0.24005272273758607,0.08093550290845615,0.6790117743539575
62,22-08-2019,0.2344927308501237,0.07533623263292984,0.6901710365169461
63,23-08-2019,0.22943716886574964,0.0700128427693451,0.7005499883649049
64,24-08-2019,0.22483991157441868,0.06497154247689957,0.7101885459486813
65,25-08-2019,0.22065886177474858,0.06021396388433228,0.7191271743409188
66,26-08-2019,0.2168556847908132,0.05573801900694889,0.7274062962022375
67,27-08-2019,0.21339553433193828,0.051538649940471346,0.73506581572759
68,28-08-2019,0.21024677464964317,0.04760848345708177,0.7421447418932746
69,29-08-2019,0.207380713338984,0.043938387879791055,0.7486808987812246
70,30-08-2019,0.2047713409993146,0.040517949688859384,0.7547107093118257
71,31-08-2019,0.20239509116819274,0.037335868722351,0.760269040109456
72,01-09-2019,0.20023061349743507,0.03438028561640887,0.7653891008861557
73,02-09-2019,0.1982585671777507,0.03163904937581366,0.7701023834464353
74,03-09-2019,0.1964614297559085,0.029099934554854982,0.7744386356892363
75,04-09-2019,0.19482332312006173,0.026750812372795214,0.7784258645071428
76,05-09-2019,0.19332985607568037,0.02457978520682466,0.7820903587174947
