,Date,Susceptible,Infected,Recovered
0,21-06-2019,0.999,0.001,0.0
1,22-06-2019,0.9988975581883958,0.0010511669658550878,5.127484574902203e-05
2,23-06-2019,0.998789887327432,0.0011049400350571959,0.00010517263751064042
3,24-06-2019,0.9986767323537777,0.001161445749265341,0.00016182189695679343
4,25-06-2019,0.9985578258826863,0.0012208166909088419,0.0002213574264048049
5,26-06-2019,0.9984328388063879,0.0012832160402317617,0.0002839451533802469
6,27-06-2019,0.9983014743659272,0.0013487907786593934,0.0003497348554132389
7,28-06-2019,0.9981634196969607,0.001417695856730952,0.00041888444630830255
8,29-06-2019,0.9980183303146543,0.0014901017168307837,0.0004915679685148155
9,30-06-2019,0.9978658572486214,0.0015661809856047685,0.0005679617657736759
10,01-07-2019,0.9977056250403853,0.0016461192307549483,0.0006482557288597174
11,02-07-2019,0.9975372492253299,0.001730106396542172,0.000732644378127716
12,03-07-2019,0.9973603161965281,0.0018183466060933432,0.0008213371973784305
13,04-07-2019,0.9971743955202816,0.0019110522046097852,0.0009145522751083836
14,05-07-2019,0.996979034970671,0.002008446086288673,0.001012518943040328
15,06-07-2019,0.9967737623162972,0.002110760781515327,0.0011154769021874205
16,07-07-2019,0.9965580788058334,0.002218241756307989,0.0012236794378585928
17,08-07-2019,0.9963314627129374,0.0023311454797438134,0.0013373918073187423
18,09-07-2019,0.9960933691682164,0.0024497395314715125,0.0014568913003118998
19,10-07-2019,0.9958432290854425,0.002574303234219349,0.001582467680337996
20,11-07-2019,0.9955804407356476,0.0027051314633186165,0.0017144278010337252
21,12-07-2019,0.9953043744626043,0.002842532479214647,0.0018530930581809588
22,13-07-2019,0.9950143758459895,0.002986826474809969,0.0019987976792003735
23,14-07-2019,0.9947097487281291,0.003138353251063545,0.0021518980208071804
24,15-07-2019,0.9943897727125204,0.003297464320489449,0.002312762966990105
25,16-07-2019,0.9940536932008031,0.0034645273819918017,0.002481779417204978
26,17-07-2019,0.993700712756273,0.003639930088637271,0.002659357155089473
27,18-07-2019,0.9933300016330499,0.003824075432489137,0.00284592293446084
28,19-07-2019,0.9929406937351427,0.004017383535808056,0.0030419227290490315
29,20-07-2019,0.9925318831000941,0.004220293168860479,0.0032478237310452577
30,21-07-2019,0.99210261785243,0.004433264046883451,0.003464118100686398
