,Date,Susceptible,Infected,Recovered
0,21-06-2019,100000.0,0.0,0.0
1,22-06-2019,99000.0,1000.0,0.0
2,23-06-2019,98953.0,1047.0,0.0
3,24-06-2019,98904.0,1096.0,0.0
4,25-06-2019,98852.0,1148.0,0.0
5,26-06-2019,98798.0,1202.0,0.0
6,27-06-2019,98742.0,1258.0,0.0
7,28-06-2019,98682.0,1318.0,0.0
8,29-06-2019,98620.0,1380.0,0.0
9,30-06-2019,98555.0,1445.0,0.0
10,01-07-2019,98487.0,1513.0,0.0
11,02-07-2019,98416.0,1584.0,0.0
12,03-07-2019,98341.0,1659.0,0.0
13,04-07-2019,98263.0,1737.0,0.0
14,05-07-2019,98181.0,1819.0,0.0
15,06-07-2019,98095.0,1905.0,0.0
16,07-07-2019,98005.0,1995.0,0.0
17,08-07-2019,97911.0,2089.0,0.0
18,09-07-2019,97813.0,2187.0,0.0
19,10-07-2019,97710.0,2290.0,0.0
20,11-07-2019,97602.0,2398.0,0.0
21,12-07-2019,97489.0,2511.0,0.0
22,13-07-2019,97370.0,2630.0,0.0
23,14-07-2019,97246.0,2754.0,0.0
24,15-07-2019,97116.0,2884.0,0.0
25,16-07-2019,96981.0,3019.0,0.0
26,17-07-2019,96838.0,3162.0,0.0
27,18-07-2019,96689.0,3311.0,0.0
28,19-07-2019,96533.0,3467.0,0.0
29,20-07-2019,96370.0,3630.0,0.0
30,21-07-2019,96199.0,3801.0,0.0
31,22-07-2019,96019.0,3981.0,0.0
32,23-07-2019,95832.0,4168.0,0.0
33,24-07-2019,95635.0,4365.0,0.0
34,25-07-2019,95430.0,4570.0,0.0
35,26-07-2019,95214.0,4786.0,0.0
36,27-07-2019,94989.0,5011.0,0.0
37,28-07-2019,94752.0,5248.0,0.0
38,29-07-2019,94505.0,5495.0,0.0
39,30-07-2019,94246.0,5754.0,0.0
40,31-07-2019,93975.0,6025.0,0.0
41,01-08-2019,93691.0,6309.0,0.0
42,02-08-2019,93394.0,6606.0,0.0
43,03-08-2019,93082.0,6918.0,0.0
44,04-08-2019,92756.0,7244.0,0.0
45,05-08-2019,92415.0,7585.0,0.0
46,06-08-2019,92057.0,7943.0,0.0
47,07-08-2019,91683.0,8317.0,0.0
48,08-08-2019,91291.0,8709.0,0.0
49,09-08-2019,90880.0,9120.0,0.0
50,10-08-2019,90451.0,9549.0,0.0
51,11-08-2019,90000.0,10000.0,0.0
52,12-08-2019,89529.0,10471.0,0.0
53,13-08-2019,89036.0,10964.0,0.0
54,14-08-2019,88519.0,11481.0,0.0
55,15-08-2019,87978.0,12022.0,0.0
56,16-08-2019,87411.0,12589.0,0.0
57,17-08-2019,86818.0,13182.0,0.0
